Data;Hora;Latitude;Longitude;GoogleMaps;Satelites;Velocidade_kmh;Status
23/05/2026;18:25:52;SEM_FIX;SEM_FIX;SEM_FIX;0;0;SEM_FIX
23/05/2026;18:25:57;SEM_FIX;SEM_FIX;SEM_FIX;0;0;SEM_FIX
23/05/2026;18:26:02;SEM_FIX;SEM_FIX;SEM_FIX;0;0;SEM_FIX
23/05/2026;18:26:07;SEM_FIX;SEM_FIX;SEM_FIX;0;0;SEM_FIX
23/05/2026;18:26:12;SEM_FIX;SEM_FIX;SEM_FIX;0;0;SEM_FIX
23/05/2026;18:26:17;SEM_FIX;SEM_FIX;SEM_FIX;0;0;SEM_FIX
23/05/2026;20:13:34;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:13:39;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:13:44;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:13:49;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:13:54;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:13:59;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:04;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:09;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:14;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:19;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:24;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:29;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:34;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:39;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:44;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:49;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:54;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:14:59;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:15:04;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:15:09;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:15:14;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:15:19;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:15:24;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:15:29;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
23/05/2026;20:15:34;SEM_FIX;SEM_FIX;SEM_FIX;0;0;NO
